OBJECTID,ZIP,ZIPCODE,COUNTY,ZIP_TYPE,Shape_Length,Shape_Area
1,98031,98031,033,Standard,117508.232812751,228012907.118483
2,98032,98032,033,Standard,166737.665152181,482675358.830169
3,98030,98030,033,Standard,94409.5385682112,200095361.216209
4,98029,98029,033,Standard,111093.715480548,277424676.849771
5,98028,98028,033,Standard,71488.2307473323,199653136.516521
6,98027,98027,033,Standard,253756.023751578,1661884330.82068
7,98038,98038,033,Standard,316441.960766293,1649846738.93503
8,98039,98039,033,Standard,61258.0272765496,155177417.724138
9,98040,98040,033,Standard,86242.1868291449,355630909.408548
10,98042,98042,033,Standard,207993.204554593,762420832.145471
11,98043,98043,061,Standard,46970.6897693763,115804612.755818
12,98045,98045,033,Standard,632072.888656664,8059174605.87532
13,98047,98047,033,Standard,40407.1013469012,48433350.6393012
14,98026,98026,061,Standard,142218.853125343,466680527.158655
15,98024,98024,033,Standard,362554.834501919,2181634326.13374
16,98023,98023,033,Standard,109980.586118041,515140947.8062
17,98022,98022,053,Standard,295979.59225798,2507633660.90162
18,98022,98022,033,Standard,735799.746441768,11359799658.0019
19,98021,98021,061,Standard,101755.382868015,273011415.11641
20,98020,98020,061,Standard,89185.1949514396,505208443.738133
21,98019,98019,033,Standard,312688.579772124,3189847404.49084
22,98014,98014,033,Standard,227524.533743361,1160183705.47592
23,98012,98012,061,Standard,110807.673458415,421686535.766905
24,98011,98011,033,Standard,70949.0589860139,198270746.63969
25,98010,98010,033,Standard,134236.967174923,518248272.02432
26,98008,98008,033,Standard,92175.7188316354,221305556.64662
27,98007,98007,033,Standard,113480.575069863,115790429.97404
28,98006,98006,033,Standard,94290.4955582239,345583880.325929
29,98005,98005,033,Standard,116409.338972156,211364085.629191
30,98004,98004,033,Standard,99214.8516738519,250545476.331717
31,98003,98003,033,Standard,120498.915073202,317076886.56703
32,98087,98087,061,Standard,68003.5198361596,156580450.322233
33,98092,98092,033,Standard,263990.586992666,1214591234.93076
34,98002,98002,033,Standard,102448.491058047,205568823.841646
35,98001,98001,033,Standard,156155.468916102,532425522.912374
36,98102,98102,033,Standard,37488.7807910725,43221885.5426722
37,98033,98033,033,Standard,102220.118398746,331559104.031174
38,98034,98034,033,Standard,104151.333949553,325202715.451868
39,98036,98036,061,Standard,111757.183122469,267202393.095194
40,98037,98037,061,Standard,78136.4159390061,168863901.907376
41,98047,98047,053,Standard,19937.7304027148,19319883.4562564
42,98051,98051,033,Standard,211663.339537407,1150005809.70896
43,98052,98052,033,Standard,162722.553528265,559234630.831172
44,98110,98110,035,Standard,191012.616385228,1852123613.1412
45,98112,98112,033,Standard,54445.0206369958,140370063.048803
46,98053,98053,033,Standard,201103.983968088,774000613.521226
47,98116,98116,033,Standard,85203.5505298335,370352920.302464
48,98055,98055,033,Standard,68049.8854202067,124138930.97612
49,98056,98056,033,Standard,90631.034438258,233316902.692562
50,98057,98057,033,Standard,88614.5077945257,189796213.000408
51,98058,98058,033,Standard,174295.938154175,627855679.956866
52,98059,98059,033,Standard,145598.07899886,462241543.524781
53,98065,98065,033,Standard,345717.472557848,2404508900.94716
54,98068,98068,037,PO Box,220477.116261071,1769965779.91563
55,98070,98070,033,Standard,205883.685390716,2275005193.62346
56,98072,98072,033,Standard,119472.96672515,376794578.658168
57,98072,98072,061,Standard,78248.234395709,151344185.886116
58,98074,98074,033,Standard,116776.507504181,375981442.118896
59,98075,98075,033,Standard,132520.18205306,335823648.999944
60,98148,98148,033,Standard,69372.5757885744,79595151.445632
61,98154,98154,033,Standard,1105.87403025575,76423.2300881511
62,98077,98077,033,Standard,117061.095647468,419740022.500678
63,98077,98077,061,Standard,50110.1240030627,75926072.5352454
64,98092,98092,053,Standard,29033.3427138224,31805301.6056267
65,98101,98101,033,Standard,34632.5891663129,24587725.7932607
66,98104,98104,033,Standard,43354.1823537341,38805580.2596862
67,98105,98105,033,Standard,82483.9783061275,150437703.368439
68,98106,98106,033,Standard,87139.5485588763,153182925.035303
69,98107,98107,033,Standard,48012.0277845105,67116199.1389104
70,98108,98108,033,Standard,84808.3538838332,215057961.186547
71,98109,98109,033,Standard,40749.0345580628,66355767.8118919
72,98115,98115,033,Standard,86527.7716929157,243253759.591875
73,98117,98117,033,Standard,71232.001408904,178122992.551593
74,98118,98118,033,Standard,87566.5576775411,257293222.311181
75,98119,98119,033,Standard,55400.4060326747,110904648.484554
76,98121,98121,033,Standard,27856.2024653011,27805975.0024633
77,98122,98122,033,Standard,58229.8114394888,90357858.3255231
78,98125,98125,033,Standard,70849.7109030612,180053083.666787
79,98126,98126,033,Standard,83979.6463957234,105977929.832841
80,98133,98133,033,Standard,95065.0356048111,195422051.495421
81,98134,98134,033,Standard,58749.8244359502,125109164.798159
82,98136,98136,033,Standard,72663.1234625221,239358678.707211
83,98144,98144,033,Standard,57767.7235988464,138129354.89822
84,98146,98146,033,Standard,83402.1008008747,257595519.853719
85,98103,98103,033,Standard,71421.2056715296,144008321.271703
86,98177,98177,033,Standard,115169.017537744,513428794.044054
87,98178,98178,033,Standard,69536.5737887241,152355429.90888
88,98188,98188,033,Standard,94574.3103316365,218702267.390028
89,98195,98195,033,Standard,20357.784544607,26607146.655211
90,98198,98198,033,Standard,120337.445872768,331701313.712245
91,98290,98290,061,Standard,347710.853609905,2852193029.44153
92,98199,98199,033,Standard,90827.9013289101,418124794.089976
93,98201,98201,061,Standard,119720.94390023,665527487.617919
94,98203,98203,061,Standard,113764.875443571,432068567.675734
95,98204,98204,061,Standard,83247.2016593664,250191196.918369
96,98205,98205,061,Standard,203110.976557289,632952840.929091
97,98206,98260,061,Standard,43820.7096696536,125679213.885841
98,98208,98208,061,Standard,140817.66610917,361491036.029275
99,98223,98223,061,Standard,573249.36932447,9188799827.53695
100,98224,98224,033,PO Box,187335.039772593,1720744792.49112
101,98241,98241,061,Standard,489725.415392639,10702285410.0475
102,98155,98155,033,Standard,72453.029767803,231167189.259502
103,98158,98158,033,Standard,34571.1135307891,58144733.2706319
104,98164,98164,033,Standard,1115.5232034814,77740.1683586222
105,98166,98166,033,Standard,103624.089920031,418832486.731277
106,98329,98329,053,Standard,125259.162402193,837983706.805377
107,98330,98330,053,Standard,45773.0855714593,53285055.2628591
108,98332,98332,053,Standard,124096.475719178,785013320.961252
109,98333,98333,053,Standard,93982.9139454605,474765159.837677
110,98335,98335,053,Standard,148852.834534761,997643463.453881
111,98337,98337,035,Standard,31237.0512155375,40203852.9331808
112,98338,98338,053,Standard,224377.437630031,1600401562.80929
113,98168,98168,033,Standard,105379.39846948,258885192.638144
114,98272,98272,061,Standard,281451.343123428,2513539670.96403
115,98275,98275,061,Standard,102050.18162093,359176271.738943
116,98282,98282,061,Standard,24190.2118594437,24208128.0628747
117,98288,98288,033,PO Box,484750.182616025,8748979849.20718
118,98351,98351,053,Standard,99887.0886641766,494363986.4957
119,98354,98354,033,Standard,13089.5202241193,8506824.49260787
120,98292,98292,061,Standard,283058.029532643,2638509527.02263
121,98294,98294,061,Standard,621328.89328959,10936936885.6779
122,98296,98296,061,Standard,263970.855672082,1048106698.3611
123,98303,98303,053,Standard,86109.7724272896,505103341.592681
124,98304,98304,053,Standard,148164.538100714,322185529.255085
125,98310,98310,035,Standard,62880.6162446212,215379703.064436
126,98311,98311,035,Standard,80878.326451665,381528373.46126
127,98312,98312,035,Standard,231764.622321314,1967531257.64557
128,98314,98314,035,Unique,33968.7111018907,52357036.5975302
129,98315,98315,035,Standard,99140.1822803137,397694028.962414
130,98321,98321,053,Standard,203533.627868084,1143293737.21058
131,98251,98251,061,Standard,170540.045841864,1365169847.31694
132,98252,98252,061,Standard,655587.480414569,11458033795.596
133,98258,98258,061,Standard,188174.037646858,746870626.739434
134,98270,98270,061,Standard,129683.810503231,401548254.191824
135,98323,98323,053,Standard,161148.783648178,826550521.678505
136,98327,98327,053,Standard,88916.9034265117,284825350.485378
137,98328,98328,053,Standard,304188.897703458,2717657378.75255
138,98271,98271,061,Standard,273762.801753899,1882315386.59909
